2015/08/26 21:50:07 ServerEx (pid=700)(info): 绑定本地UDP端口:0.0.0.0:8888
8888
2015/08/26 21:40:11 ServerEx (pid=8096)(error): 向[]发送数据失败,err:10047
2015/08/26 21:40:11 ServerEx (pid=8096)(error): 向[]发送数据失败,err:10047
2015/08/26 21:40:11 ServerEx (pid=8096)(error): 向[]发送数据失败,err:10047
 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
2015/08/22 21:28:24 ServerEx (pid=6208)(error): 读取数据失败：0.0.0.0:0
